acquisition_order,location,location_order,instrument_scan_number,source,map_start_time,map_end_time,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,measured_gap_speed_um_per_s,variant,baseline_method,dmin_nm,dmax_nm,safe_dmin_nm,detected_snap_max_nm,detected_snap_median_nm,snap_detected_pixels,minimum_pixels_per_fitted_bin,noise_floor_pN,hydro_speed_um_s,no_slip_correction_applied_to_pixels,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,baseline_pN,r2,residual_rmse_pN,weighted_sse,soft_l1_cost,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,local_scale_interpretation,fit_quality_pass,quality_flags,n_points,force_signal_pN,two_start_costs,data_speed_groups,zero_speed_extrapolated,model,probe_radius_um,temperature_model_C
1,A,1,5,10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,0.0,2.0,1.9685219831883085,primary,linear_drift_corrected,150.0,250.0,150.0,139.2698155324957,8.923567234632015,54,64,3.0,0.0,False,90.63652590638249,26.060529358063146,-15.660821691462147,0.9538718807649059,1.9079099656939453,0.016512612398273254,0.008251943112542293,True,51,3,40.56871264921484,7.468536343375096,1.2759158677128521,0.7393724308811845,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,21,29.91964432949491,0.00825194311;0.0083120697,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
1,A,1,5,10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,0.0,2.0,1.9685219831883085,constant_baseline,far_constant_referenced,150.0,250.0,150.0,139.2698155324957,8.923567234632015,54,64,3.0,0.0,False,51.75617562543983,31.08334271745596,0.09856164150171444,0.9909951418766894,0.8739045217345056,0.0951523550093532,0.04746614462235499,True,30,3,26.922819837775705,0.8607052400540502,0.7046106207010463,-0.968671223443764,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,21,28.41284305858536,0.0474661446;4.00716137,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
1,A,1,5,10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,0.0,2.0,1.9685219831883085,lower_plus_10nm,linear_drift_corrected,160.0,250.0,150.0,139.2698155324957,8.923567234632015,54,64,3.0,0.0,False,163.77839343490737,31.750265995158024,-40.710853006237656,0.9513663722135357,1.6074221738281935,0.011429704538945097,0.005712544426318411,True,52,3,142.46768035044033,17.046897572900825,10.03780781677202,0.9947571637451269,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,19,21.88576717166503,0.00577154161;0.00571254443,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
1,A,1,5,10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,0.0,2.0,1.9685219831883085,common_150_250nm,linear_drift_corrected,150.0,250.0,150.0,139.2698155324957,8.923567234632015,54,64,3.0,0.0,False,90.63652590638249,26.060529358063146,-15.660821691462147,0.9538718807649059,1.9079099656939453,0.016512612398273254,0.008251943112542293,True,51,3,40.56871264921484,7.468536343375096,1.2759158677128521,0.7393724308811845,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,21,29.91964432949491,0.00825194311;0.0083120697,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
1,A,1,5,10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,0.0,2.0,1.9685219831883085,no_slip_hydrodynamic,linear_then_no_slip_corrected,150.0,250.0,150.0,139.2698155324957,8.923567234632015,54,64,3.0,0.0,True,96.87861286248403,25.6034907898137,-18.289945966499072,0.9485590965203755,1.9030664232959325,0.01635538956489969,0.00817344460164171,True,47,3,52.35435002895398,9.69559608596074,2.138478736811937,0.9066575158699494,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,21,28.37929832848784,0.0081734446;0.00867112661,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
2,A,2,6,10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,0.9843516830615893,primary,linear_drift_corrected,25.0,250.0,25.0,12.896634284798505,8.9130802891754,57,64,3.0,0.0,False,38.347095886601814,39.09412179135512,16.44933001208345,0.9685026300598687,28.655431555125777,1.805976190873053,0.8723826669189783,True,18,3,4.156847135634885,0.0943059724495328,0.04722388625926532,-0.597195159850788,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,691.5118406504166,0.872382667;0.872382667,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
2,A,2,6,10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,0.9843516830615893,constant_baseline,far_constant_referenced,25.0,250.0,25.0,12.896634284798505,8.9130802891754,57,64,3.0,0.0,False,40.05746298527666,38.934451627438875,1.4353273716253676,0.9583266669885704,33.311842324027715,2.6178574132129815,1.2434191574966174,True,8,3,5.130338901005317,0.06480352687205813,0.043600677626919,-0.7260041881583849,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,688.2464856497312,1.24341916;1.24341916,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
2,A,2,6,10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,0.9843516830615893,lower_plus_10nm,linear_drift_corrected,35.0,250.0,25.0,12.896634284798505,8.9130802891754,57,64,3.0,0.0,False,39.592318286318374,38.447391193624036,15.430702707195698,0.9893405345369479,12.336347713956478,1.0922116690747756,0.5364880863857275,True,8,3,4.549707855518433,0.10424336098629652,0.05060767180602752,-0.6320683402457214,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,44,481.6756175347907,0.536488086;0.536488086,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
2,A,2,6,10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,0.9843516830615893,upper_200nm,linear_drift_corrected,25.0,200.0,25.0,12.896634284798505,8.9130802891754,57,64,3.0,0.0,False,35.94067470524673,39.238793013205125,22.71646029864957,0.9765176780077353,26.00337947582753,1.058812757910235,0.5166674134453331,True,19,3,5.169238351434857,0.11687927793845586,0.050871399075058804,-0.5298569457964875,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,36,681.3718288773188,0.516667413;0.516667413,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
2,A,2,6,10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,0.9843516830615893,common_150_250nm,linear_drift_corrected,150.0,250.0,25.0,12.896634284798505,8.9130802891754,57,64,3.0,0.0,False,66.3969516302475,28.099486860244067,3.85476776990415,0.9843055114130711,1.2277493044427112,0.09498703275880091,0.047360777598113524,True,36,3,33.4694264812279,1.6859303429747547,0.5751185529229235,-0.9188294800370611,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,21,32.7193935807191,0.0473607776;2.44786432,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
